created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Apr 30 11:53:39 +0000 2024;1785276324422324434;"@kochengfs Ih mirip bgt sama kucing akuuu!! https://t.co/Q9zRhcFqO7";0;1;0;0;in;1646927580;1785275615291244993;strwberriesINFJ;https://twitter.com/strwberriesINFJ/status/1785276324422324434
Tue Apr 30 11:53:35 +0000 2024;1785276310513947128;"@sereveine yg naksir boleh langsung caplok aku aja";0;0;0;0;in;2995984332;1785273074969141544;DEMIAPELU;https://twitter.com/DEMIAPELU/status/1785276310513947128
Tue Apr 30 11:53:27 +0000 2024;1785276275357266155;"Kenapa skrg tiap malem jadi ngurusin kucing 😟😟😟😟 wkwkwkwkwkwkwk https://t.co/nDGj6TyNJX";0;0;0;0;in;89120672;1785276275357266155;baishenglu;https://twitter.com/baishenglu/status/1785276275357266155
Tue Apr 30 11:53:24 +0000 2024;1785276261763551602;"@jkjhkbmhtm_5 Untung Bleki bukn tipe yg suka nyaplok ky kucing akak";0;0;0;0;in;177845245;1785192142840984050;immasyawols;https://twitter.com/immasyawols/status/1785276261763551602
Tue Apr 30 11:53:14 +0000 2024;1785276221510803889;"@waiothesley KENAPALAAHHH FTO KUCING YG KAU CEPRET SMUA FTO AIB, tpi lucu gapapa tangsu danau";0;1;0;0;in;1745480961440321536;1785271239709528414;rjlnive_;https://twitter.com/rjlnive_/status/1785276221510803889
Tue Apr 30 11:53:12 +0000 2024;1785276212358828182;"Berburu kucing komplek. https://t.co/3GHqZqFeDD";0;1;0;0;in;3296453364;1785276212358828182;BeyondWals;https://twitter.com/BeyondWals/status/1785276212358828182
Tue Apr 30 11:53:08 +0000 2024;1785276196022010297;"kucing kabur dri mana ini?! https://t.co/pD4GPRWSSJ";0;0;0;0;in;1009316507774357504;1785276196022010297;cupofateabro;https://twitter.com/cupofateabro/status/1785276196022010297
Tue Apr 30 11:53:07 +0000 2024;1785276191160910053;"@saveyouhday mAKASIHyah";0;0;0;1;in;2995984332;1785273074969141544;DEMIAPELU;https://twitter.com/DEMIAPELU/status/1785276191160910053
Tue Apr 30 11:53:06 +0000 2024;1785276187771892216;"@m8onet Pengen pegang paw kucing.";0;0;0;0;in;796471128722051072;1785270093712355514;teraarium;https://twitter.com/teraarium/status/1785276187771892216
Tue Apr 30 11:53:02 +0000 2024;1785276169925095479;"emg kucing suka nangkring di pohon anggur yak? https://t.co/BCaMp65tfF";0;0;0;0;in;1575495725273665536;1785276169925095479;tsadiraaa;https://twitter.com/tsadiraaa/status/1785276169925095479
Tue Apr 30 11:53:00 +0000 2024;1785276161893023856;"@zayneku Itu siapa kucing item";0;2;0;0;in;1252445452714139648;1785276041025761340;yuranokiseki;https://twitter.com/yuranokiseki/status/1785276161893023856
Tue Apr 30 11:53:00 +0000 2024;1785276160961913091;"@krougee h-hi… komennya udh bkn buci lg…";0;0;0;0;in;2995984332;1785273074969141544;DEMIAPELU;https://twitter.com/DEMIAPELU/status/1785276160961913091
Tue Apr 30 11:52:58 +0000 2024;1785276153605013751;"@keiwtiaw kucing bloon";0;0;0;0;in;1154166373150388225;1785271878090891768;sqbiel;https://twitter.com/sqbiel/status/1785276153605013751
Tue Apr 30 11:52:38 +0000 2024;1785276070180352300;"mwehehehe lusyuuu ini kucing kingkoong 😍😍 aku suka banget kingkong";0;0;0;0;in;1762087535520681984;1785275936205852801;nissshiee_;https://twitter.com/nissshiee_/status/1785276070180352300
Tue Apr 30 11:52:31 +0000 2024;1785276040048505330;"r: anda bisa sitdown?  s: saya minta maaf mister tapi ini bukan mister deh, ini ke imunisasi tidak lengkap s: imunisasi dia ga lengkap suntiknya dulu pas kecil r: sttt 🤫 🫳🫳 s: *🐶🐶 r: good girl  di bagian ini ketawa bgt sumpah 😭😭😭 https://t.co/BgU57CjHbQ";0;0;8;56;in;1676946405024485380;1785276040048505330;heidyyyaa;https://twitter.com/heidyyyaa/status/1785276040048505330
Tue Apr 30 11:52:23 +0000 2024;1785276005231591443;"maf tes ombak aj akan aku apus😊😭💀🗿";0;1;0;0;in;2995984332;1785273074969141544;DEMIAPELU;https://twitter.com/DEMIAPELU/status/1785276005231591443
Tue Apr 30 11:52:19 +0000 2024;1785275989830086701;"Biaya rontgen kucing 11 12 ama rontgen manusia ternyata...";0;0;0;0;in;596220809;1785275989830086701;youngfeelmania;https://twitter.com/youngfeelmania/status/1785275989830086701
Tue Apr 30 11:52:16 +0000 2024;1785275976982896757;"@0hmybreads tapi aku kucing";0;1;0;0;in;1485966359465201664;1785273524221075840;flowryrora;https://twitter.com/flowryrora/status/1785275976982896757
